Section,Name,How_knew_David,Tribute,Name_for_index
SEWTHA,Pilgrim Beart FIET,Cambridge technology innovator,"David achieved an extraordinary amount in a short life, and was a lovely person too. Here's how he's changed my life, in “numbers, not adjectives"": In 2008, an early proof of SEWTHA was a cold splash of reality, prompting me to pivot the smart home startup I'd co-founded, AlertMe, to focus on home energy management.  AlertMe became Hive, which today serves around three million UK homes and in 2025 claimed 6.2 TWh gas avoided and ~1.5 MtCO₂ avoided. David was a true polymath, with impact spanning education, startups, assistive technologies, and UK energy policy. I miss him and in this new era of LLMs, descendants of the statistical inference and information-theoretic ideas to which he contributed so much, I wonder what piquant observations he might make about their ""truth per joule""?","Beart, Pilgrim"
SEWTHA,Ben Coppin,,"David's book (SEWTHA) was a game-changer. It was so clear and objective, in contrast with most other materials available at the time on the subject of climate change. I was working at a startup, looking at how AI could be used to help consumers measure and reduce their energy consumption, and David was very generous with his time and his feedback. I still use quotes from his book and refer people to it today, as there really hasn't been a more clearly reasoned work on the subject since.","Coppin, Ben"
CLARITY,Dr Justin Hayward,,Both energy/materials books and ITILA. I wrote a generalised game show tribute to David and his Bayesian proof in my own book. His support of the Bayes inference approach inspired me. ,"Hayward, Justin"
CLARITY,Dr Leopold Parts,David was my University Supervisor during my Ph.D,"I interacted with David's inference research group at the Cavendish often, and personally with him a few times. Directly, the talks I gave to the group were deconstructed to get at the core of the problem, looking for clarity in both the setup and the solution, which forced me to level up my work. Indirectly, the ""everything is connected"" and ""everything is quantifiable"" philosophies expanded in ITILA and SEWTHA exposed a diversity- and reality-grounded worldview that I grew to subscribe to, as well as a very human whimsy that I learned to cherish in everyone. ","Parts, Leopold"
ITILA,Dr Weiwei Sun,University of Cambridge,ITILA has changed my understanding of machine learning.,"Sun, Weiwei"
INFORMATION_THEORY,"Professor Sir Harshad Bhadeshia, FRS, FREng",Darwin College,"Following a casual conversation during lunch at Darwin College, David and I developed a major collaboration. My area of expertise is physical metallurgy, and I was interested in understanding and applying neural network methods to model the relationship between the chemical composition, structure and complex properties in steels. These properties, such as toughness and fatigue, can be measured routinely and used in the safe design of engineering structures. They are, however, so complex that there is no adequate theory that can predict them, except in all but the simplest of cases that are not technologically relevant. Given our vastly different backgrounds, it took time and patience to establish a common language between us, but the collaboration turned out to be productive,
leading to a series of 14 joint papers, whose significance I described in my review paper of 1999.

David helped in particular to implement his Bayesian and evidence frameworks, which were seminal in avoiding the overfitting problem, leading to some remarkable quantitative predictions even when faced with myriads of input variables. He introduced the concept of modelling uncertainty, which is independent of the noise that is experienced when an experiment is repeated. This made the models safe to apply because it helped identify domains within the input space where knowledge is sparse or where estimates are made far beyond the known parameters. When combined with thermodynamics and kinetic theory, the work enabled, and continues to enable, the creation of novel alloys to be dramatically accelerated through a rational, evidence-based process that made maximum use of information and thereby reduced the resources needed for the task. Examples include fire-resistant steel, alloys for futuristic power plants and alloys used in the cast condition.

These successes led to David’s ‘bigback’ algorithm being adopted in materials research in many parts of the world; more generally, the strategy of combining mechanistic or thermodynamic modelling with informatic, ‘data-mining’ approaches has been very widely copied since then as a way to speed up materials discovery.","Bhadeshia, Harshad"
CLARITY,"Dr. Salvatore Scellato, PhD","Ex Director of Engineering at Google DeepMind, currently still working in Machine Learning","As a young and newly minted PhD student at the university of Cambridge I attended one of his lectures on sustainable energy. It was so inspiring, so clear, and so thought-provoking. I only then realised it was the same person how had written ITILA, the book I was studying on to better understand Machine Learning. 

Such an intellectual giant, such an inspiration.","Scellato, Salvatore"
ITILA,Eiko Yoneki,University of Cambridge,His pioneer work on Bayesian inference to neural networks really gave a new direction of work to me. ,"Yoneki, Eiko"
SEWTHA,Michael Liebreich,"Host, Cleaning Up","Renewable Energy Without The Hot Air was a breath of fresh air in the energy culture wars. It wasn't that it told me things I didn't know - indeed in some areas David profoundly underestimated the likelihood of technological and economic advances. But it demonstrated how we need to build energy policy on a foundation of science and engineering, not of politics, hope and self-delusion.","Liebreich, Michael"
DASHER,Jorge Tendeiro,,"
I am deeply humbled and eternally grateful for a chance to explain how Professor David MacKay saved my life.

Through a small, free, open-source app called Dasher, this remarkable man restored my voice, independence, and will to live. Dasher lets people with severe motor impairments write fluently using continuous gestures via mouse, joystick, head tracker, eyegaze, or any remaining movement. I’ve tried many other communication systems for the severely disabled, and yet, this obscure, exceptionally brilliant project, even today, has no  rivals in its simplicity, speed, or gentle usability—nothing out there is even in the same ballpark.

Diagnosed with Motor Neuron Disease in 2005, by 2009 paralysis had stolen my ability to type, write by hand, or speak clearly. Existing communication aids felt torturously slow and draining, each word an exhausting fight.

Then, in what still feels like providence, I found Dasher on the Inference Group site. Within a day, I wrote near my former speed. Within a week, I texted, emailed, and spoke via text-to-speech as naturally as before. This unassuming tool reopened my world.
Dasher gave me purpose each morning. I pursued online Philosophy studies, earned a writing degree and diplomas, and built a thriving online business. Above all, it kept me connected to family, friends, deep conversations, and the simple joy of being heard. These connections gave me the will and motivation for a life worth fighting for.
Without Dasher, despair might have won earlier, through my own choice or the disease’s relentless advance. Instead, it let me live as if I was going to live: dreaming, planning, and creating.

Twenty years into MND, I still write every word—including this tribute—with the tool he created. Professor MacKay’s legacy lives in the dignity and hope he quietly returned to me and countless others. I hope some students or professionals continue developing and improving this miraculous app for current and future generations. Who knows, it may be someone you know who will rediscover the will to live through using Dasher.
In closing, Professor MacKay didn’t just make software...he built a bridge back to my life.
","Tendeiro, Jorge"
